autor,tytul,miejsce_wydania,rok
Adam Mickiewicz,"Poezje. T. 2, Wiersze z lat 1825-1855 (Pieśni - Sonety - Poezje patrjotyczne, religijne i filozoficzne - Wiersze okolicznościowe - Bajki) Broń mnie przed sobą samym",Kraków,[dr. 1928]
Adam Mickiewicz,Dziady wileńskie,Kraków,1922
Adam Mickiewicz,Dziady. Cz. 3,Kraków,[1920]
Adam Mickiewicz,"Poezje. T. 2, Wiersze z lat 1825-1855 (Pieśni - Sonety - Poezje patrjotyczne, religijne i filozoficzne - Wiersze okolicznościowe - Bajki) Śniła się zima",Kraków,[dr. 1928]
Adam Mickiewicz,"Poezje. T. 2, Wiersze z lat 1825-1855 (Pieśni - Sonety - Poezje patrjotyczne, religijne i filozoficzne - Wiersze okolicznościowe - Bajki) Polały się łzy",Kraków,[dr. 1928]
Adam Mickiewicz,"Poezje. T. 2, Wiersze z lat 1825-1855 (Pieśni - Sonety - Poezje patrjotyczne, religijne i filozoficzne - Wiersze okolicznościowe - Bajki) Ach, już i w rodzicielskim domu",Kraków,[dr. 1928]
Adam Mickiewicz,"Poezje. T. 2, Wiersze z lat 1825-1855 (Pieśni - Sonety - Poezje patrjotyczne, religijne i filozoficzne - Wiersze okolicznościowe - Bajki) Nad wodą wielka i czystą",Kraków,[dr. 1928]
Adam Mickiewicz,"Poezje. T. 2, Wiersze z lat 1825-1855 (Pieśni - Sonety - Poezje patrjotyczne, religijne i filozoficzne - Wiersze okolicznościowe - Bajki) Snuć miłość",Kraków,[dr. 1928]
Adam Mickiewicz,Dziady. Cz. 3,Kraków,[1922]
Adam Mickiewicz,Dzieła prozą. T. 2,Nowogródek,1934
Adam Mickiewicz,Dzieła prozą. T. 3,Nowogródek,1934
Adam Mickiewicz,Z myśli politycznych Adama Mickiewicza : droga do wolnej Polski.,Zakopane,1915
Adam Mickiewicz,Wybór listów Adama Mickiewicza,Kraków,1899
Adam Mickiewicz,List Adama Mickiewicza do Władysława Czartoryskiego.,Paryż,[1856]
Adam Mickiewicz,Correspondance (1820-1855),Paris,[1924]
Adam Mickiewicz,Pisma Adama Mickiewicza : z portretem autora i ośmią rycinami na stali. T. 1.,Warszawa : Poznań,1858
Adam Mickiewicz,Księgi narodu polskiego i pielgrzymstwa polskiego,Krakow,1924
Adam Mickiewicz,Sonety krymskie,Florencja,1929
Adam Mickiewicz,Grażyna : powieść litewska,Krakow,[1928]
Adam Mickiewicz,"""Rozmowy chorych"" Adama Mickiewicza we francuskim autografie",,2005
Adam Mickiewicz,Trybuna Ludów,Kraków,[ca 1923]
Adam Mickiewicz,Trybuna Ludów,Krakow,[1925]
Adam Mickiewicz,Pisma Adama Mickiewicza. T. 6.,Paryż : Leipzig,1861
Adam Mickiewicz,Dzieła Adama Mickiewicza. T. 3,Lwów,[1913]
Adam Mickiewicz,Poezye Adama Mickiewicza. T. 1.,Poznan,1828
Adam Mickiewicz,Poezye Adama Mickiewicza. T. 4.,Poznan,1828
Adam Mickiewicz,"Poezye Adama Mickiewicza. T. 1, Przemowa ; Ballady i romanse ; Wiersze różne.",Wilno,[1822 [i.e. 1823]]
Adam Mickiewicz,Poezye Adama Mickiewicza. T. 2.,Krakow,1914
Adam Mickiewicz,"Poezye Adama Mickiewicza, wydane w setną rocznicę urodzin wieszcza, 1798-1898. T. 4.",Mikołów,[1898]
Adam Mickiewicz,Poezye Adama Mickiewicza. T. 3.,Paryż,1829
Adam Mickiewicz,"Poezje. T. 2, Wiersze z lat 1825-1855 (Pieśni - Sonety - Poezje patrjotyczne, religijne i filozoficzne - Wiersze okolicznościowe - Bajki)",Krakow,[1924]
Adam Mickiewicz,Ballady i romanse ; Wiersze różne,Paryż,1838
Adam Mickiewicz,"Poezye Adama Mickiewicza. T. 1, Do czytelnika o krytykach i recenzentach warszawskich ; Konrad Wallenrod ; Grażyna ; Wiersze różne.",Petersburg,1829
Adam Mickiewicz,Poezye Adama Mickiewicza. T. 1.,Paryż,1828
Adam Mickiewicz,Poezye Adama Mickiewicza. T. 2.,Paryż,1828
Adam Mickiewicz,Poezye Adama Mickiewicza. T. 3.,Krakow,1899
Adam Mickiewicz,Poezye,,[ca 1915]
Adam Mickiewicz,Artykuły polityczne Adama Mickiewicza,Krakow,1893
Adam Mickiewicz,Artykuły Pielgrzyma Polskiego,Paryż,[1866]
Adam Mickiewicz,Sonety Adama Mickiewicza,Lwów,1827
Adam Mickiewicz,Pan Tadeusz czyli Ostatni zajazd na Litwie. T. 1,Paryż,1838
Adam Mickiewicz,Dziady część III,Paryż,1838
Adam Mickiewicz,Pan Tadeusz czyli Ostatni zajazd na Litwie. T. 2,Paryż,1838
Adam Mickiewicz,"[Poezye Adama Mickiewicza. T. 5] t. 1, Pan Tadeusz czyli Ostatni zajazd na Litwie : historja szlachecka z r. 1811 i 1812 we dwunastu księgach wierszem.",Paryż,1834
Adam Mickiewicz,"[Poezye Adama Mickiewicza. T. 6] t. 2, Pan Tadeusz czyli Ostatni zajazd na Litwie : historja szlachecka z r. 1811 i 1812 we dwunastu księgach wierszem.",Paryż,1834
Adam Mickiewicz,Przemówienia,Warszawa,1933
Adam Mickiewicz,Dzieła. T. 13-14,Warszawa,1929
Adam Mickiewicz,"Pisma prozaiczne francuskie przełożone. Cz. 1, Pisma estetyczno-krytyczne ; Opowiadania ; Pisma historyczne ; Wykłady lozańskie ; Pisma polityczne ; Dodatek",Warszawa,1936
Piotr Mickiewicz,Polska w koalicji antyterrorystycznej - wnioski dla polityki bezpieczeństwa RP,,2005
Piotr Mickiewicz,Marynarka Wojenna RP na przełomie wieków,,2002
Adam Mickiewicz,"Listy. T. 1, 1817-1831",Warszawa,1936
Adam Mickiewicz,Herr Thaddäus oder der letzte Einritt in Lithauen,Leipzig,1882
Adam Mickiewicz,Pisma Adama Mickiewicza. T. 3.,Paryż,1860
Adam Mickiewicz,Pisma Adama Mickiewicza. T. 7.,Paryż,1860
Adam Mickiewicz,Dzieła Adama Mickiewicza. T. 2.,Paryż,1868
Adam Mickiewicz,Todtenfeier = (Dziady),Leipzig,1887
Adam Mickiewicz,Dzieła prozą. T. 1,Nowogródek,1934
Adam Mickiewicz,Sonety Adama Mickiewicza.,Moskwa,1826
Adam Mickiewicz,Księgi narodu polskiego i pielgrzymstwa polskiego.,Paryż,1832
Antoni Mickiewicz,Rodzaje i znaczenie kredytów preferencyjnych dla rozwoju rolnictwa i obszarów wiejskich,,2013
Adam Mickiewicz,Dzieła Adama Mickiewicza. T. 2,Lwów,[1912]
Adam Mickiewicz,Dzieła. T. 17-18,Warszawa,1929
Adam Mickiewicz,Pan Tadeusz czyli Ostatni zajazd na Litwie : historia szlachecka z r. 1811 i 1812 we dwunastu księgach wierszem),Wrocław,1973
Adam Mickiewicz,Grażyna : powieść litewska,"Chicago, Ill",1895
Adam Mickiewicz,Dzieła. T. 1- [2],,
Adam Mickiewicz,"Dzieła. T. 9-10, Pan Tadeusz",Warszawa,1929
Adam Mickiewicz,[List do Konstancji z Bojanowskich Łubieńskiej Wodpolowej],,1852
Adam Mickiewicz,"Dzieła. T. 1-2, Wiersze najwcześniejsze ; Sonety",Warszawa,1929
Adam Mickiewicz,Dziady wileńskie,Krakow,[1920]
Adam Mickiewicz,"Poezje. T. 1, Wiersze młodzieńcze : Ballady i romanse ; Wiersze do r. 1824",Krakow,[1928]
Adam Mickiewicz,Konrad Wallenrod,Krakow,[1928]
Adam Mickiewicz,Pisma estetyczno-krytyczne,Krakow,[1924]
Adam Mickiewicz,Pan Tadeusz czyli Ostatni zajazd na Litwie : historia szlachecka z roku 1811 i 1812 we dwunastu księgach wierszem,Warszawa,1984
Adam Mickiewicz,Pisma Adama Mickiewicza. T. 4.,Lipsk,1862
Adam Mickiewicz,Adama Mickiewicza nieznane listy do hr. Cezarego Platera,Poznań,1919
Adam Mickiewicz,Księgi narodu polskiego i pielgrzymstwa polskiego.,Paryż,1832
Adam Mickiewicz,Pisma Adama Mickiewicza. T. 1. Do samotności,Paryż : Leipzig,1861
Adam Mickiewicz,Wiersze różne Rozum i wiara,Paryż,1838
Adam Mickiewicz,Wiersze różne Rozmowa wieczorna,Paryż,1838
Piotr Mickiewicz,Bezpieczeństwo europejskie w koncepcji i działaniach politycznych Tony'ego Blaira,,2007
Piotr Mickiewicz,[Trójkąt Weimarski - recenzja],,2006
Piotr Mickiewicz,Obszar Azji Centralnej i Zatoki Perskiej w strategii ChRL,,2008
Piotr Mickiewicz,[Chiny - recenzja],,2005
Adam Mickiewicz,Pan Tadeusz czyli Ostatni zajazd na Litwie : historya szlachecka z 1811 i 1812 r.,Lwów,[1882]
Adam Mickiewicz,Utwory dramatyczne,Warszawa,1949
Adam Mickiewicz,Pan Tadeusz,Paris,1934
Adam Mickiewicz,Pan Tadeusz [czyli ostatni zajazd na Litwie : historia szlachecka z r. 1811 i 1812 we dwunastu księgach wierszem],Warszawa,1984
