"";"id";"likes_count";"from_id";"from_name";"message";"created_time";"type";"link";"story";"comments_count";"shares_count";"love_count";"haha_count";"wow_count";"sad_count";"angry_count"
"359";"132197036871908_191315534293391";2;"132197036871908";"Muzeum II Wojny Światowej";"Zgodnie z zapowiedzią dwusetna osoba, która polubiła stronę Muzeum II Wojny Światowej otrzymuje od nas książkę ""Codzienność w okupowanym Krakowie"" autorstwa Anny Czocher. Gratulujemy!";"2011-12-08T16:27:18+0000";"status";NA;NA;0;0;0;0;0;0;0
"363";"132197036871908_193725084052436";5;"132197036871908";"Muzeum II Wojny Światowej";"W najbliższy czwartek tj. 15.12. o godz. 17.00 zapraszamy na wykład dr Zofii Maciakowskiej pt. ""Gdańska Wiadrownia - dzieje nieistniejącej dzielnicy"" w ramach cyklu ""Spotkania z historią"". Wykład będzie poświęcony historii terenu, na którym powstanie Muzeum II Wojny Światowej. Spotkanie odbędzie się w Hotelu Scandic w Gdańsku, ul. Podwale Grodzkie 9. Wstęp wolny.";"2011-12-12T09:21:56+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.151459168279028.34912.132197036871908/193725060719105/?type=3";NA;0;2;0;0;0;0;0
"364";"132197036871908_193769957381282";13;"132197036871908";"Muzeum II Wojny Światowej";"W wyniku akcji zbiórki eksponatów prowadzonej przez Muzeum otrzymaliśmy już pierwsze pamiątki od darczyńców. Prezentujemy wybrane eksponaty z ich historią.";"2011-12-12T12:01:35+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.169494963142115.40527.132197036871908/193766307381647/?type=3";"Muzeum II Wojny Światowej added 5 new photos to the album: Zbiórka eksponatów.";1;6;NA;NA;NA;NA;NA
"365";"132197036871908_194345490657062";2;"132197036871908";"Muzeum II Wojny Światowej";"Zapraszamy na wykład dr hab. Tomasza Chincińskiego, pracownika naukowego Muzeum II Wojny Światowej, pt. ""Od współpracy do terroru. Polska w planach Hitlera"", który odbędzie się w Muzeum Sopotu w dn. 18.12.2011r. (niedziela) o godz. 15.00.

Muzeum Sopotu, ul. Poniatowskiego 8.

Wstęp wolny.";"2011-12-13T09:48:53+0000";"status";NA;NA;0;1;0;0;0;0;0
"366";"132197036871908_194368243988120";7;"132197036871908";"Muzeum II Wojny Światowej";"Muzeum II Wojny Światowej zorganizowało warsztaty fotograficzne dla młodzieży pt. ""Echa wojny"" inspirowane gdańską historią i literaturą związaną z wydarzeniami drugiej
 wojny światowej. Pod okiem fotografa – Roberta Kwiatka – uczestnicy poznali podstawy i techniki fotografii, a podczas części praktycznej warsztatów mieli okazję do zrobienia zdjęć w plenerach miejskich i leśnych. 
10 grudnia w XV LO na gdańskiej Zaspie została otwarta wystawa fotografii, wykonanych podczas warsztatów. Będzie ona eksponowana do 22.12. ";"2011-12-13T10:49:49+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.194353773989567.45512.132197036871908/194354997322778/?type=3";"Muzeum II Wojny Światowej added 20 new photos to the album: Warsztaty fotograficzne ""Echa wojny"".";1;2;NA;NA;NA;NA;NA
"367";"132197036871908_195508487207429";47;"132197036871908";"Muzeum II Wojny Światowej";"Muzeum II Wojny Światowej posiada już ponad 18 tysięcy eksponatów.  Prezentujemy ciekawsze przedmioty znajdujące się w naszej kolekcji.";"2011-12-15T10:52:06+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.159487357476209.37794.132197036871908/195506927207585/?type=3";"Muzeum II Wojny Światowej added 2 new photos to the album: Nasze eksponaty.";0;10;NA;NA;NA;NA;NA
"368";"132197036871908_195514807206797";13;"132197036871908";"Muzeum II Wojny Światowej";"W wyniku akcji zbiórki eksponatów prowadzonej przez Muzeum otrzymaliśmy już pierwsze pamiątki od darczyńców. Prezentujemy wybrane eksponaty z ich historią.";"2011-12-15T11:11:23+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.169494963142115.40527.132197036871908/195513137206964/?type=3";"Muzeum II Wojny Światowej added 5 new photos to the album: Zbiórka eksponatów.";1;6;NA;NA;NA;NA;NA
"369";"132197036871908_196076077150670";47;"132197036871908";"Muzeum II Wojny Światowej";"Muzeum II Wojny Światowej posiada już ponad 18 tysięcy eksponatów.  Prezentujemy ciekawsze przedmioty znajdujące się w naszej kolekcji.";"2011-12-16T10:40:09+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.159487357476209.37794.132197036871908/196072810484330/?type=3";"Muzeum II Wojny Światowej added 6 new photos to the album: Nasze eksponaty.";0;10;NA;NA;NA;NA;NA
"370";"132197036871908_197755053649439";1;"132197036871908";"Muzeum II Wojny Światowej";"""Spotkania z historią"" to comiesięczne wykłady otwarte organizowane przez Muzeum II Wojny Światowej, w ramach których odbywają się spotkania autorskie, promocje książek, prelekcje i dyskusje historyczne.";"2011-12-19T13:00:47+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.141668772591401.32226.132197036871908/141669012591377/?type=3";"Muzeum II Wojny Światowej added 12 new photos to the album: ""Spotkania z historią"".";0;2;0;0;0;0;0
"372";"132197036871908_198317530259858";1;"132197036871908";"Muzeum II Wojny Światowej";"W dniu 27 grudnia 2011r. o godz. 17.00 zapraszamy na projekcję filmu ""Krzyż Walecznych"", która odbędzie się w Centrum św. Jana w Gdańsku, ul. Świętojańska 50. Wstęp wolny.

Film, którego premiera odbyła się w 1959, jest debiutem reżyserskim  Kazimierza Kutza. Kostiumy przygotował Marian Kołodziej. Składa się z trzech nowel, adaptacji opowiadań Józefa Hena.";"2011-12-20T11:53:18+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.151459168279028.34912.132197036871908/198317506926527/?type=3";NA;0;1;0;0;0;0;0
"373";"132197036871908_198879313537013";9;"132197036871908";"Muzeum II Wojny Światowej";"Pod koniec lipca 2011r. rozpoczęły się prace archeologiczne na terenie, na którym powstaje nasze Muzeum. Potrwają do maja 2012 r. ";"2011-12-21T09:43:26+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.136008106490801.30751.132197036871908/198876526870625/?type=3";"Muzeum II Wojny Światowej added 4 new photos to the album: Prace archeologiczne na terenie przyszłej siedziby Muzeum.";0;5;NA;NA;NA;NA;NA
"374";"132197036871908_198964176861860";13;"132197036871908";"Muzeum II Wojny Światowej";"W wyniku akcji zbiórki eksponatów prowadzonej przez Muzeum otrzymaliśmy już pierwsze pamiątki od darczyńców. Prezentujemy wybrane eksponaty z ich historią.";"2011-12-21T13:50:26+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.169494963142115.40527.132197036871908/198956480195963/?type=3";"Muzeum II Wojny Światowej added 2 new photos to the album: Zbiórka eksponatów.";1;6;NA;NA;NA;NA;NA
"375";"132197036871908_203473053077639";13;"132197036871908";"Muzeum II Wojny Światowej";"W wyniku akcji zbiórki eksponatów prowadzonej przez Muzeum otrzymaliśmy już pierwsze pamiątki od darczyńców. Prezentujemy wybrane eksponaty z ich historią.";"2011-12-29T13:48:03+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.169494963142115.40527.132197036871908/203461806412097/?type=3";"Muzeum II Wojny Światowej added 12 new photos to the album: Zbiórka eksponatów.";1;6;NA;NA;NA;NA;NA
"376";"132197036871908_205578386200439";34;"132197036871908";"Muzeum II Wojny Światowej";NA;"2012-01-02T12:56:05+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.135525323205746.30628.132197036871908/135526279872317/?type=3";"Muzeum II Wojny Światowej added 11 new photos to the album: Publikacje Muzeum II Wojny Światowej.";3;6;NA;NA;NA;NA;NA
"377";"132197036871908_207364799355131";2;"132197036871908";"Muzeum II Wojny Światowej";"Album pamiątek zatytułowany ,,Oflag IIC”. Tytuł sugeruje, że zawiera pamiątki jedynie z pobytu w obozie w Woldenbergu, jednak wśród fotografii znajdują się 4 z Oflagu w Itzehoe i jedno legitymacyjne z Grossborn.

Oflag II C Woldenberg – niemiecki obóz jeniecki przeznaczony dla oficerów Wojska Polskiego, był usytuowany ok. 1 km od miasta Woldenberg (dzisiejszy Dobiegniew w woj. lubuskim). Zajmował powierzchnię ok. 25 ha.";"2012-01-05T13:35:25+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.207363396021938.48879.132197036871908/207364426021835/?type=3";"Muzeum II Wojny Światowej added a new photo to the album: Album pamiątek kpt. Piotra Pawlaka.";0;0;0;0;0;0;0
"483";"132197036871908_342858252408278";5;"132197036871908";"Muzeum II Wojny Światowej";"Zachęcamy do przeczytania zamieszczonej na portalu Histmag.org recenzji książki autorstwa Karoliny Wigury ""Wina narodów"" wydanej nakładem Muzeum. Życzymy miłej lektury a Histmagowi dziękujemy za tak wysoką ocenę!
http://histmag.org/?id=6241";"2012-01-09T08:28:24+0000";"link";"http://histmag.org/?id=6241";NA;0;0;0;0;0;0;0
"380";"132197036871908_210893439002267";1;"132197036871908";"Muzeum II Wojny Światowej";"Przypominamy, że jutro odbędzie się wykład i promocja książki Jochena Böhlera ""Najazd 1939. Niemcy przeciw Polsce."" Hotel Scandic w Gdańsku, godz. 17.00. Wstęp wolny. Zapraszamy.";"2012-01-11T07:49:55+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.151459168279028.34912.132197036871908/210893419002269/?type=3";NA;0;1;0;0;0;0;0
"381";"132197036871908_210936765664601";9;"132197036871908";"Muzeum II Wojny Światowej";"Zapraszamy do udziału w inscenizacji  Ardeny'44. Szczegóły w zakładce Wydarzenia.";"2012-01-11T10:32:43+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.151459168279028.34912.132197036871908/210936752331269/?type=3";NA;0;13;0;0;0;0;0
"500";"132197036871908_355139964511474";5;"132197036871908";"Muzeum II Wojny Światowej";"http://www.trojmiasto.pl/wiadomosci/Niemieckie-i-polskie-mity-o-wrzesniu-1939-Rozmowa-z-Jochenem-Boehlerem-n54493.html?strona=3#opinie Zachęcamy do przeczytania wywiadu z Jochenem Bohlerem, gościem dzisiejszych ""Spotkań z historią"". ";"2012-01-12T07:58:28+0000";"link";"http://www.trojmiasto.pl/wiadomosci/Niemieckie-i-polskie-mity-o-wrzesniu-1939-Rozmowa-z-Jochenem-Boehlerem-n54493.html";NA;1;2;0;0;0;0;0
"382";"132197036871908_212198428871768";1;"132197036871908";"Muzeum II Wojny Światowej";"12.01.2012. Dr Jochen Böhler podczas wykładu i promocji książki „Najazd 1939. Niemcy przeciw Polsce”.";"2012-01-13T12:02:48+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.141668772591401.32226.132197036871908/212192475539030/?type=3";"Muzeum II Wojny Światowej added 2 new photos to the album: ""Spotkania z historią"".";0;2;NA;NA;NA;NA;NA
"394";"132197036871908_233187406759535";1;"132197036871908";"Muzeum II Wojny Światowej";"12 stycznia w Hotelu Scandic w Gdańsku odbył się zorganizowany przez Muzeum II Wojny Światowej wykład i promocja książki Jochena Böhlera „Najazd 1939. Niemcy przeciw Polsce”. Wykład zorganizowano w ramach „Spotkań z historią”.";"2012-01-13T12:04:16+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.141668772591401.32226.132197036871908/212190635539214/?type=3";"Muzeum II Wojny Światowej shared their photo.";0;0;0;0;0;0;0
"383";"132197036871908_212272602197684";7;"132197036871908";"Muzeum II Wojny Światowej";"Muzeum II Wojny Światowej w Gdańsku zaprasza uczniów szkół ponadgimnazjalnych interesujących się fotografią i dziennikarstwem do wzięcia udziału w Muzealnym Medi@projekcie. 
W trakcie rocznego projektu młodzież pod kierunkiem dziennikarzy z redakcji „Dziennika Bałtyckiego” pozna podstawy w tym zawodzie.

Zapisy do 22 stycznia 2012r. Więcej informacji na stronie internetowej www.muzeum1939.pl";"2012-01-13T14:45:24+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.151459168279028.34912.132197036871908/212272578864353/?type=3";NA;0;4;0;0;0;0;0
"384";"132197036871908_214592801965664";1;"132197036871908";"Muzeum II Wojny Światowej";"UWAGA!!!! Nabór na inscenizację ARDENY'44 zakończony. 

W związku dużym zainteresowaniem projektem i liczbą zgłoszeń przekraczającą liczbę dostępnych miejsc, prosimy o nie przesyłanie dalszych zgłoszeń. Każdy zgłaszający otrzyma informację zwrotną dotyczącą udziału w inscenizacji.";"2012-01-17T07:49:44+0000";"status";NA;NA;0;0;0;0;0;0;0
"458";"132197036871908_325018110872468";4;"132197036871908";"Muzeum II Wojny Światowej";"Jaki obraz relacji polsko-ukraińskich w czasie II wojny światowej mają dzisiejsi Ukraińcy? Ile wiedzą na temat wydarzeń z tamtych lat? Jeśli jesteście „za pan brat” z cyrylicą to zachęcamy do zapoznania się z recenzją jednej z naszych książek. „Miedzy codziennością a wielką historią”, która powstała na podstawie wyników badań nad pamięcią społeczeństwa polskiego dotyczącej II wojny światowej została poddana wnikliwej analizie dr. Aleksandra Zinczenko. W ramach projektu „Historyczna Prawda” zorganizowanego przez Polski Instytut w Kijowie dr Zinczenko bada wyniki badań zawarte w publikacji pod kątem stosunków polsko-ukraińskich. Cały tekst znajdziecie pod linkiem  
http://www.istpravda.com.ua/reviews/2012/01/13/66369/ ";"2012-01-17T09:12:46+0000";"link";"http://www.istpravda.com.ua/reviews/2012/01/13/66369/";NA;0;2;0;0;0;0;0
"385";"132197036871908_215996768491934";1;"132197036871908";"Muzeum II Wojny Światowej";"Trwa XVI edycja konkursu dla uczniów szkół ponadpodstawowych ""Historia Bliska"", którego Muzeum II Wojny Światowej jest współorganizatorem. Konkurs regularnie już od 1996 r. ogłasza Ośrodek KARTA. Tym razem uczniowie mają za zadanie przygotować pracę na jeden z trzech podanych tematów. Prace należy złożyć do 7 maja 2012 r. Szczegóły na http://www.muzeum1939.pl/?str=8&id=44 oraz www.historiabliska.pl";"2012-01-19T14:15:07+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.151459168279028.34912.132197036871908/215996741825270/?type=3";NA;0;1;0;0;0;0;0
"386";"132197036871908_216510015107276";13;"132197036871908";"Muzeum II Wojny Światowej";"W wyniku akcji zbiórki eksponatów prowadzonej przez Muzeum otrzymaliśmy już pierwsze pamiątki od darczyńców. Prezentujemy wybrane eksponaty z ich historią.";"2012-01-20T08:51:18+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.169494963142115.40527.132197036871908/216503635107914/?type=3";"Muzeum II Wojny Światowej added 7 new photos to the album: Zbiórka eksponatów.";1;6;NA;NA;NA;NA;NA
"388";"132197036871908_219292308162380";6;"132197036871908";"Muzeum II Wojny Światowej";"Prezentujemy część eksponatów znajdujących się w naszych zbiorach, obrazujących życie codzienne żołnierzy na różnych frontach w czasie II wojny światowej. ";"2012-01-24T13:08:44+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.219276928163918.51706.132197036871908/219281031496841/?type=3";"Muzeum II Wojny Światowej added 10 new photos to the album: Życie codzienne żołnierzy.";0;3;NA;NA;NA;NA;NA
"390";"132197036871908_221325554625722";47;"132197036871908";"Muzeum II Wojny Światowej";"Muzeum II Wojny Światowej posiada już ponad 18 tysięcy eksponatów.  Prezentujemy ciekawsze przedmioty znajdujące się w naszej kolekcji.";"2012-01-27T12:55:09+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.159487357476209.37794.132197036871908/221315901293354/?type=3";"Muzeum II Wojny Światowej added 6 new photos to the album: Nasze eksponaty.";0;10;NA;NA;NA;NA;NA
"425";"132197036871908_288254027901934";15;"132197036871908";"Muzeum II Wojny Światowej";NA;"2012-01-30T09:19:10+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.223249897766621.52663.132197036871908/223251774433100/?type=3";"Muzeum II Wojny Światowej shared their album.";0;5;0;0;0;0;0
"510";"132197036871908_365083420187365";12;"132197036871908";"Muzeum II Wojny Światowej";"Zachęcamy do obejrzenia relacji z inscenizacji bitwy o Ardeny.    http://www.tvp.pl/gdansk/aktualnosci/spoleczne/rekonstrukcja-bitwy-o-ardeny-w-gdyni/6355063/rekonstrukcja-bitwy-o-ardeny/6355101  ";"2012-01-31T11:05:45+0000";"link";"http://www.tvp.pl/gdansk/aktualnosci/spoleczne/rekonstrukcja-bitwy-o-ardeny-w-gdyni/6355063/rekonstrukcja-bitwy-o-ardeny/6355101";NA;0;3;0;0;0;0;0
"351";"132197036871908_182661635167165";2;"132197036871908";"Muzeum II Wojny Światowej";"Filmik z inscenizacji zrealizowany przez portal trojmiasto.pl   http://trojmiasto.tv/Inscenizacja-bitwy-o-Ardeny-2618.html";"2012-01-31T11:12:05+0000";"video";"http://trojmiasto.tv/Inscenizacja-bitwy-o-Ardeny-2618.html";NA;0;2;0;0;0;0;0
"392";"132197036871908_225529580871986";9;"132197036871908";"Muzeum II Wojny Światowej";"Muzeum II Wojny Światowej podsumowało ogólnopolską zbiórkę pamiątek, która była prowadzona od października ubiegłego roku. Akcja spotkała się z dużym odzewem. Odnotowano zgłoszenia z całej Polski, a także z zagranicy. W ciągu kilku miesięcy do Muzeum trafiło ponad 1800 nowych eksponatów. Przekazanym przedmiotom często towarzyszą równie cenne relacje świadków wojny lub ich potomków. 
W wyniku zakupów oraz dzięki darowiznom Muzeum w 2011 r. powiększyło swoje zbiory o blisko 7 tys. obiektów. Tym samym łączna liczba eksponatów zgromadzonych przez Muzeum II Wojny Światowej przekroczyła 10 tys.";"2012-02-02T12:29:16+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.151459168279028.34912.132197036871908/225529560871988/?type=3";NA;0;1;0;0;0;0;0
"527";"132197036871908_374940872520759";0;"132197036871908";"Muzeum II Wojny Światowej";"Prezentujemy album z pamiątkami po ppłk. Janie Gorzko, przekazanymi Muzeum przez jego córkę. ";"2012-02-07T09:55:22+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.229035343854743.53800.132197036871908/229036470521297/?type=3";"Muzeum II Wojny Światowej shared their album.";0;2;0;0;0;0;0
"401";"132197036871908_250751788333548";6;"132197036871908";"Muzeum II Wojny Światowej";"Muzeum II Wojny Światowej podsumowuje ogólnopolską zbiórkę pamiątek. Zachęcamy do zapoznania się z jednym z pierwszych podsumowań zamieszczonych na stronach Histmag.org.";"2012-02-07T14:17:26+0000";"link";"http://histmag.org/?id=6353";NA;0;0;0;0;0;0;0
"86";"132197036871908_105213112939854";3;"132197036871908";"Muzeum II Wojny Światowej";"Prezentujemy pamiątki po ppor. Cz. Andrysiaku, znanym rysowniku i karykaturzyście, przekazane Muzeum przez rodzinę. ";"2012-02-09T11:53:21+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.230480933710184.54168.132197036871908/230482890376655/?type=3";"Muzeum II Wojny Światowej shared their album.";0;4;0;0;0;0;0
"466";"132197036871908_328599587181716";2;"132197036871908";"Muzeum II Wojny Światowej";"10 luty 1940r. - Dziś rocznica pierwszej deportacji ludności z Kresów Wschodnich w głąb ZSRR. Kolejne odbyły się 13-14 kwietnia oraz na przełomie maja-lipca 1940 roku. Wiele tysięcy osób zostało wywiezionych, a do Polski powróciło tak niewielu. ";"2012-02-10T09:06:45+0000";"photo";"https://www.facebook.com/Muzeum.II.Wojny.Swiatowej/photos/a.231104046981206.54263.132197036871908/231105330314411/?type=3";"Muzeum II Wojny Światowej shared their album.";0;2;0;0;0;0;0
"337";"132197036871908_150611045058749";4;"132197036871908";"Muzeum II Wojny Światowej";"Strona internetowa poświęcona pamięci osób zesłanych na Syberię.";"2012-02-10T09:14:26+0000";"link";"http://www.10luty1940.pl/";NA;0;1;0;0;0;0;0
"404";"132197036871908_253629094713408";3;"132197036871908";"Muzeum II Wojny Światowej";"Rusza kolejny cykl filmowy ""Taśmy o wojnie"" adresowany do uczniów szkół ponadpodstawowych. Zapraszamy do zapoznania się z programem oraz na projekcje. ";"2012-02-14T08:29:36+0000";"link";"http://www.muzeum1939.pl/?str=8&id=43";NA;0;1;0;0;0;0;0
"362";"132197036871908_193276907446858";9;"132197036871908";"Muzeum II Wojny Światowej";"W tym tygodniu obchodziliśmy 70. rocznicę powstania Armii Krajowej - najlepiej zorganizowanej armii podziemnej w Europie w czasie II wojny światowej. Na czym polegał jej fenomen? Czy w innych krajach działały podobne organizacje? Jakie stosunki panowały między Armią Krajową a podziemiem komunistycznym i jak powinniśmy opowiadać o AK obcokrajowcom? Odpowiedzi na te i inne pytania poznacie czytając rozmowę portalu Histmag.org z dr. Januszem Marszalcem, zastępcą dyrektora Muzeum II Wojny Światowej. Zachęcamy do lektury! ";"2012-02-16T09:15:07+0000";"link";"http://histmag.org/?id=6378";NA;1;0;0;0;0;0;0
